ValuationDate,PolicyNumber,ISIN,SEDOL,HoldingName,HoldingReference,HoldingCurrency_x,HoldingMarketValueHoldingCurrency_x,Units,UnitPrice,HoldingMarketValuePolicyCurrency_x,BookCost,GainLoss,HoldingCurrency_y,HoldingMarketValueHoldingCurrency_y,HoldingMarketValuePolicyCurrency_y,BrokerID,Product,PolicyCurrency,PolicyStatus,PolicyStartDate,SurrenderPenalty,SurrenderValue,RegularContribution,ContributionFrequency,PolicyTerm,PolicyEndDate,TotalContribution,Withdrawals,LastContributionDate,NextContributionDate,PolicyBasis,SubPolicies,TransactionDate,TransactionName,TransactionComments,TransactionDebitAmount,TransactionCreditAmount,TransactionCurrency
2023-07-11,PM10001425,LU1459801947,BYWK760,UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP,PM10001425-UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP,GBP,12118.49,867.0,13.9775,12118.49,13202.87,-0.08213214248114242,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,LU1459801947,BYWK760,UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP,PM10001425-UBS Bloomberg Barclays TIPS 1-10 UCITS ETF GBP,GBP,12118.49,867.0,13.9775,12118.49,13202.87,-0.08213214248114242,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,LU1033663052,BJVDYY2,Fidelity Global Dividend Fund GBP W Acc ,PM10001425-Fidelity Global Dividend Fund GBP W Acc ,GBP,13093.22,5702.62,2.296,13093.22,13178.75,-0.006489993360523583,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,LU1033663052,BJVDYY2,Fidelity Global Dividend Fund GBP W Acc ,PM10001425-Fidelity Global Dividend Fund GBP W Acc ,GBP,13093.22,5702.62,2.296,13093.22,13178.75,-0.006489993360523583,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,IE00B50W2R13,B50W2R1,Vanguard Global Bond Index GBP Hedged Acc,PM10001425-Vanguard Global Bond Index GBP Hedged Acc,GBP,10884.13,76.67,141.9607,10884.13,12386.96,-0.12132355315589938,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,IE00B50W2R13,B50W2R1,Vanguard Global Bond Index GBP Hedged Acc,PM10001425-Vanguard Global Bond Index GBP Hedged Acc,GBP,10884.13,76.67,141.9607,10884.13,12386.96,-0.12132355315589938,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,IE00BL25JP72,BRCJ8M1,Xtrackers MSCI World Momentum UCITS ETF 1C GBP,PM10001425-Xtrackers MSCI World Momentum UCITS ETF 1C GBP,GBP,11516.4,315.0,36.56,11516.4,13214.1,-0.12847640020886786,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,IE00BL25JP72,BRCJ8M1,Xtrackers MSCI World Momentum UCITS ETF 1C GBP,PM10001425-Xtrackers MSCI World Momentum UCITS ETF 1C GBP,GBP,11516.4,315.0,36.56,11516.4,13214.1,-0.12847640020886786,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10001425,LU2502369130,9782845,Morgan Stanley Global Quality Z GBP,PM10001425-Morgan Stanley Global Quality Z GBP,GBP,15030.37,583.477,25.76,15030.37,14435.23,0.04122830048430126,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Admin Fee,Flat Administration Fee,129.47,0.0,GBP
2023-07-11,PM10001425,LU2502369130,9782845,Morgan Stanley Global Quality Z GBP,PM10001425-Morgan Stanley Global Quality Z GBP,GBP,15030.37,583.477,25.76,15030.37,14435.23,0.04122830048430126,GBP,4837.87,4837.87,23562,PIMS Flexible,GBP,Active,2013-04-11,,,0.0,Single Payment,,,100607.0,12449.0,2013-04-11,,Life Assurance - Single,100,2023-07-11,Investment Advisor Fee,Investment Advisor Fee,291.56,0.0,GBP
2023-07-11,PM10002485,IE00BK4Z4V95,BK4Z4V9,Lindsell Train Global Equity Fund C USD,PM10002485-Lindsell Train Global Equity Fund C USD,USD,67294.99,29783.133,2.2595,67294.99,70136.3,-0.04051126164340002,GBP,3537.57,4560.99,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,IE00BK4Z4V95,BK4Z4V9,Lindsell Train Global Equity Fund C USD,PM10002485-Lindsell Train Global Equity Fund C USD,USD,67294.99,29783.133,2.2595,67294.99,70136.3,-0.04051126164340002,USD,15942.69,15942.69,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,LU0346392482,B2PMBD4,Fidelity Funds US Dollar Bond Y Acc USD,PM10002485-Fidelity Funds US Dollar Bond Y Acc USD,USD,115399.57,7172.13,16.09,115399.57,127520.54,-0.09505111882368111,GBP,3537.57,4560.99,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,LU0346392482,B2PMBD4,Fidelity Funds US Dollar Bond Y Acc USD,PM10002485-Fidelity Funds US Dollar Bond Y Acc USD,USD,115399.57,7172.13,16.09,115399.57,127520.54,-0.09505111882368111,USD,15942.69,15942.69,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,US4642898674,B3FFS95,iShares Core Growth Allocation ETF,PM10002485-iShares Core Growth Allocation ETF,USD,164628.0,3228.0,51.0,164628.0,172148.26,-0.04368478659034958,GBP,3537.57,4560.99,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,US4642898674,B3FFS95,iShares Core Growth Allocation ETF,PM10002485-iShares Core Growth Allocation ETF,USD,164628.0,3228.0,51.0,164628.0,172148.26,-0.04368478659034958,USD,15942.69,15942.69,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,IE00B4L5Y983,B4L5Y98,iShares Core MSCI World UCITS ETF USD (Acc) USD LN,PM10002485-iShares Core MSCI World UCITS ETF USD (Acc) USD LN,USD,181105.16,2164.0,83.69,181105.16,165717.56,0.0928543722222317,GBP,3537.57,4560.99,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,IE00B4L5Y983,B4L5Y98,iShares Core MSCI World UCITS ETF USD (Acc) USD LN,PM10002485-iShares Core MSCI World UCITS ETF USD (Acc) USD LN,USD,181105.16,2164.0,83.69,181105.16,165717.56,0.0928543722222317,USD,15942.69,15942.69,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,IE00BYZ8K175,BYZ8K17,iShares Developed World ESG Screen Index Fund D Acc USD,PM10002485-iShares Developed World ESG Screen Index Fund D Acc USD,USD,75922.56,4464.72,17.005,75922.56,70136.3,0.08250021743376812,GBP,3537.57,4560.99,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10002485,IE00BYZ8K175,BYZ8K17,iShares Developed World ESG Screen Index Fund D Acc USD,PM10002485-iShares Developed World ESG Screen Index Fund D Acc USD,USD,75922.56,4464.72,17.005,75922.56,70136.3,0.08250021743376812,USD,15942.69,15942.69,23562,PIMS Flexible,USD,Active,2013-09-23,,,0.0,Single Payment,,,448048.0,18097.34,2013-09-23,,Life Assurance - Last Death,100,2023-07-11,Dividend Receipt,Net Dividend receipt for 3228.00 nominal of iShares Core Growth Allocation ETF,0.0,871.24,USD
2023-07-11,PM10003632,IE00BL25JP72,BYW4SY7,Xtrackers MSCI World Momentum UCITS ETF 1C USD,PM10003632-Xtrackers MSCI World Momentum UCITS ETF 1C USD,USD,26653.88,565.0,47.175,26653.88,31949.0,-0.16573664277442168,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JP72,BYW4SY7,Xtrackers MSCI World Momentum UCITS ETF 1C USD,PM10003632-Xtrackers MSCI World Momentum UCITS ETF 1C USD,USD,26653.88,565.0,47.175,26653.88,31949.0,-0.16573664277442168,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BL25JP72,BYW4SY7,Xtrackers MSCI World Momentum UCITS ETF 1C USD,PM10003632-Xtrackers MSCI World Momentum UCITS ETF 1C USD,USD,26653.88,565.0,47.175,26653.88,31949.0,-0.16573664277442168,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JP72,BYW4SY7,Xtrackers MSCI World Momentum UCITS ETF 1C USD,PM10003632-Xtrackers MSCI World Momentum UCITS ETF 1C USD,USD,26653.88,565.0,47.175,26653.88,31949.0,-0.16573664277442168,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BL25JM42,BYW4SW5,Xtrackers MSCI World Value UCITS ETF USD,PM10003632-Xtrackers MSCI World Value UCITS ETF USD,USD,32071.88,825.0,38.875,32071.88,31986.09,0.0026821033768116287,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JM42,BYW4SW5,Xtrackers MSCI World Value UCITS ETF USD,PM10003632-Xtrackers MSCI World Value UCITS ETF USD,USD,32071.88,825.0,38.875,32071.88,31986.09,0.0026821033768116287,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BL25JM42,BYW4SW5,Xtrackers MSCI World Value UCITS ETF USD,PM10003632-Xtrackers MSCI World Value UCITS ETF USD,USD,32071.88,825.0,38.875,32071.88,31986.09,0.0026821033768116287,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JM42,BYW4SW5,Xtrackers MSCI World Value UCITS ETF USD,PM10003632-Xtrackers MSCI World Value UCITS ETF USD,USD,32071.88,825.0,38.875,32071.88,31986.09,0.0026821033768116287,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BL25JN58,BYW4SZ8,Xtrackers MSCI World Minimum Volatility UCITS ETF USD,PM10003632-Xtrackers MSCI World Minimum Volatility UCITS ETF USD,USD,23706.68,621.0,38.175,23706.68,25560.22,-0.07251659023279144,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JN58,BYW4SZ8,Xtrackers MSCI World Minimum Volatility UCITS ETF USD,PM10003632-Xtrackers MSCI World Minimum Volatility UCITS ETF USD,USD,23706.68,621.0,38.175,23706.68,25560.22,-0.07251659023279144,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BL25JN58,BYW4SZ8,Xtrackers MSCI World Minimum Volatility UCITS ETF USD,PM10003632-Xtrackers MSCI World Minimum Volatility UCITS ETF USD,USD,23706.68,621.0,38.175,23706.68,25560.22,-0.07251659023279144,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,IE00BL25JN58,BYW4SZ8,Xtrackers MSCI World Minimum Volatility UCITS ETF USD,PM10003632-Xtrackers MSCI World Minimum Volatility UCITS ETF USD,USD,23706.68,621.0,38.175,23706.68,25560.22,-0.07251659023279144,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,LU0605515963,B4QNKH7,Fidelity Funds Global Dividend Y Acc USD,PM10003632-Fidelity Funds Global Dividend Y Acc USD,USD,20374.69,791.25,25.75,20374.69,21340.0,-0.04523477038425494,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,LU0605515963,B4QNKH7,Fidelity Funds Global Dividend Y Acc USD,PM10003632-Fidelity Funds Global Dividend Y Acc USD,USD,20374.69,791.25,25.75,20374.69,21340.0,-0.04523477038425494,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,LU0605515963,B4QNKH7,Fidelity Funds Global Dividend Y Acc USD,PM10003632-Fidelity Funds Global Dividend Y Acc USD,USD,20374.69,791.25,25.75,20374.69,21340.0,-0.04523477038425494,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,LU0605515963,B4QNKH7,Fidelity Funds Global Dividend Y Acc USD,PM10003632-Fidelity Funds Global Dividend Y Acc USD,USD,20374.69,791.25,25.75,20374.69,21340.0,-0.04523477038425494,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,LU0893933373,B9QN5S8,Fundsmith Equity Feeder I Acc USD,PM10003632-Fundsmith Equity Feeder I Acc USD,USD,26236.57,779.47,33.6595,26236.57,29875.0,-0.12178845188284515,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,LU0893933373,B9QN5S8,Fundsmith Equity Feeder I Acc USD,PM10003632-Fundsmith Equity Feeder I Acc USD,USD,26236.57,779.47,33.6595,26236.57,29875.0,-0.12178845188284515,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,LU0893933373,B9QN5S8,Fundsmith Equity Feeder I Acc USD,PM10003632-Fundsmith Equity Feeder I Acc USD,USD,26236.57,779.47,33.6595,26236.57,29875.0,-0.12178845188284515,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
2023-07-11,PM10003632,LU0893933373,B9QN5S8,Fundsmith Equity Feeder I Acc USD,PM10003632-Fundsmith Equity Feeder I Acc USD,USD,26236.57,779.47,33.6595,26236.57,29875.0,-0.12178845188284515,GBP,301.25,388.4,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),0.0,700.0,GBP
2023-07-11,PM10003632,IE00BD0NCN62,BD0NCN6,iShares Developed World Index Fund D Acc USD,PM10003632-iShares Developed World Index Fund D Acc USD,USD,38941.81,2258.02,17.246,38941.81,40545.0,-0.039541003822912923,USD,1569.0,1569.0,23562,PIMS Flexible,USD,Active,2014-12-11,,,0.0,Single Payment,,,159086.0,12317.68,2014-12-11,,Capital Redemption,100,2023-07-12,Buy Currency,FX Deal: Sell USD 918.18 & Buy GBP 700.00 (Rate: 0.762378),918.18,0.0,USD
